"nodeId","D",
"O1JC76301JC112431JC21776","4431",
"O1JC76301JC9343","2730",
"O1JC76301JC8483","1911",
"O1JC76301JC10054","3427",
"O1JC76301JC10870","4127",
"O1JC76301JC10584","3916;4567",
"O1JC76301JC8687","2108",
"O1JC76301JC111541JC21695","4353",
"O1JC76301JC8950","2366",
"O1JC76301JC9305","2693",
"O1JC76301JC8092","1544",
"O1JC76301JC9567","2947",
"O1JC76301JC9202","2598",
"O1JC76301JC10018","3391",
"O1JC76301JC9468","2852",
"O1JC76301JC10276","3649",
"O1JC76301JC9920","3294",
"O1JC76301JC10179","3552",
"O1JC76301JC10543","3879",
"O1JC76301JC7807","1273",
"O1JC76301JC8912","2329",
"O1JC76301JC7702","1178",
"O1JC76301JC11026","4249",
"O1JC76301JC8054","1507",
"O1JC76301JC9188","2585",
"O1JC76301JC8319","1766",
"O1JC76301JC9431","2815",
"O1JC76301JC8572","1998",
"O1JC76301JC9692","3072",
"O1JC76301JC10142","3515",
"O1JC76301JC7665","1141",
"O1JC76301JC10967","4212",
"O1JC76301JC10678","4003",
"O1JC76301JC7938","1398",
"O1JC76301JC8282","1729",
"O1JC76301JC8776","2197",
"O1JC76301JC8559","1985",
"O1JC76301JC9038","2454",
"O1JC76301JC8181","1631",
"O1JC76301JC9655","3035",
"O1JC76301JC8459","1888",
"O1JC76301JC9771","3148",
"O1JC76301JC10105","3478",
"O1JC76301JC10929","4176",
"O1JC76301JC8763","2185",
"O1JC76301JC10637","3967;4491",
"O1JC76301JC7900","1361",
"O1JC76301JC111851JC21722","4380",
"O1JC76301JC10784","4082",
"O1JC76301JC9001","2417",
"O1JC76301JC11131","4332",
"O1JC76301JC9281","2671",
"O1JC76301JC9618","2998",
"O1JC76301JC8419","1851",
"O1JC76301JC9736","3114",
"O1JC76301JC9519","2901",
"O1JC76301JC9995","3368",
"O1JC76301JC10230","3603",
"O1JC76301JC10510","3856",
"O1JC76301JC7759","1226",
"O1JC76301JC11084","4298",
"O1JC76301JC9242","2636",
"O1JC76301JC8031","1484",
"O1JC76301JC8376","1815",
"O1JC76301JC8648","2071",
"O1JC76301JC9140","2541",
"O1JC76301JC9958","3331",
"O1JC76301JC9860","3236",
"O1JC76301JC10470","3820",
"O1JC76301JC11040","4263",
"O1JC76301JC8852","2270",
"O1JC76301JC7993","1447",
"O1JC76301JC8611","2035",
"O1JC76301JC9092","2504",
"O1JC76301JC9371","2755",
"O1JC76301JC8512","1938",
"O1JC76301JC9822","3199",
"O1JC76301JC10082","3455",
"O1JC76301JC10736","4040",
"O1JC76301JC10317","3689",
"O1JC76301JC10900","4154",
"O1JC76301JC7952","1410",
"O1JC76301JC10613","3944",
"O1JC76301JC8221","1669",
"O1JC76301JC8715","2135",
"O1JC76301JC7848","1314",
"O1JC76301JC112341JC21767","4422",
"O1JC76301JC9334","2721",
"O1JC76301JC8120","1572",
"O1JC76301JC8473","1902",
"O1JC76301JC9595","2975",
"O1JC76301JC10045","3418",
"O1JC76301JC10851","4118",
"O1JC76301JC10574","3907",
"O1JC76301JC7835","1301",
"O1JC76301JC8678","2099",
"O1JC76301JC8941","2357",
"O1JC76301JC8083","1535",
"O1JC76301JC9558","2939",
"O1JC76301JC8348","1792",
"O1JC76301JC9192","2589",
"O1JC76301JC9459","2843",
"O1JC76301JC9911","3285",
"O1JC76301JC10170","3543",
"O1JC76301JC10532","3870",
"O1JC76301JC8903","2320",
